ID,Name,Type 1,Type 2,Total,Total Attack,Total Defense,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
343,Baltoy,Ground,Psychic,300,135,165,40,40,55,40,70,55,3,False
344,Claydol,Ground,Psychic,500,215,285,60,70,105,70,120,75,3,False
345,Lileep,Rock,Grass,355,125,230,66,41,77,61,87,23,3,False
346,Cradily,Rock,Grass,495,205,290,86,81,97,81,107,43,3,False
347,Anorith,Rock,Bug,355,210,145,45,95,50,40,50,75,3,False
348,Armaldo,Rock,Bug,495,240,255,75,125,100,70,80,45,3,False
349,Feebas,Water,,200,105,95,20,15,20,10,55,80,3,False
350,Milotic,Water,,540,241,299,95,60,79,100,125,81,3,False
351,Castform,Normal,,420,210,210,70,70,70,70,70,70,3,False
352,Kecleon,Normal,,440,190,250,60,90,70,60,120,40,3,False
353,Shuppet,Ghost,,295,183,112,44,75,35,63,33,45,3,False
354,Banette,Ghost,,455,263,192,64,115,65,83,63,65,3,False
354,BanetteMega Banette,Ghost,,555,333,222,64,165,75,93,83,75,3,False
355,Duskull,Ghost,,295,95,200,20,40,90,30,90,25,3,False
356,Dusclops,Ghost,,455,155,300,40,70,130,60,130,25,3,False
357,Tropius,Grass,Flying,460,191,269,99,68,83,72,87,51,3,False
358,Chimecho,Psychic,,425,210,215,65,50,70,95,80,65,3,False
359,Absol,Dark,,465,280,185,65,130,60,75,60,75,3,False
359,AbsolMega Absol,Dark,,565,380,185,65,150,60,115,60,115,3,False
360,Wynaut,Psychic,,260,69,191,95,23,48,23,48,23,3,False
361,Snorunt,Ice,,300,150,150,50,50,50,50,50,50,3,False
362,Glalie,Ice,,480,240,240,80,80,80,80,80,80,3,False
362,GlalieMega Glalie,Ice,,580,340,240,80,120,80,120,80,100,3,False
363,Spheal,Ice,Water,290,120,170,70,40,50,55,50,25,3,False
364,Sealeo,Ice,Water,410,180,230,90,60,70,75,70,45,3,False
365,Walrein,Ice,Water,530,240,290,110,80,90,95,90,65,3,False
366,Clamperl,Water,,345,170,175,35,64,85,74,55,32,3,False
367,Huntail,Water,,485,250,235,55,104,105,94,75,52,3,False
368,Gorebyss,Water,,485,250,235,55,84,105,114,75,52,3,False
369,Relicanth,Water,Rock,485,190,295,100,90,130,45,65,55,3,False
370,Luvdisc,Water,,330,167,163,43,30,55,40,65,97,3,False
371,Bagon,Dragon,,300,165,135,45,75,60,40,30,50,3,False
372,Shelgon,Dragon,,420,205,215,65,95,100,60,50,50,3,False
373,Salamence,Dragon,Flying,600,345,255,95,135,80,110,80,100,3,False
373,SalamenceMega Salamence,Dragon,Flying,700,385,315,95,145,130,120,90,120,3,False
374,Beldum,Steel,Psychic,300,120,180,40,55,80,35,60,30,3,False
375,Metang,Steel,Psychic,420,180,240,60,75,100,55,80,50,3,False
376,Metagross,Steel,Psychic,600,300,300,80,135,130,95,90,70,3,False
376,MetagrossMega Metagross,Steel,Psychic,700,360,340,80,145,150,105,110,110,3,False
377,Regirock,Rock,,580,200,380,80,100,200,50,100,50,3,True
378,Regice,Ice,,580,200,380,80,50,100,100,200,50,3,True
379,Registeel,Steel,,580,200,380,80,75,150,75,150,50,3,True
380,Latias,Dragon,Psychic,600,300,300,80,80,90,110,130,110,3,True
380,LatiasMega Latias,Dragon,Psychic,700,350,350,80,100,120,140,150,110,3,True
381,Latios,Dragon,Psychic,600,330,270,80,90,80,130,110,110,3,True
381,LatiosMega Latios,Dragon,Psychic,700,400,300,80,130,100,160,120,110,3,True
382,Kyogre,Water,,670,340,330,100,100,90,150,140,90,3,True
382,KyogrePrimal Kyogre,Water,,770,420,350,100,150,90,180,160,90,3,True
383,Groudon,Ground,,670,340,330,100,150,140,100,90,90,3,True
383,GroudonPrimal Groudon,Ground,Fire,770,420,350,100,180,160,150,90,90,3,True
384,Rayquaza,Dragon,Flying,680,395,285,105,150,90,150,90,95,3,True
384,RayquazaMega Rayquaza,Dragon,Flying,780,475,305,105,180,100,180,100,115,3,True
385,Jirachi,Steel,Psychic,600,300,300,100,100,100,100,100,100,3,True
386,DeoxysNormal Forme,Psychic,,600,450,150,50,150,50,150,50,150,3,True
386,DeoxysAttack Forme,Psychic,,600,510,90,50,180,20,180,20,150,3,True
386,DeoxysDefense Forme,Psychic,,600,230,370,50,70,160,70,160,90,3,True
386,DeoxysSpeed Forme,Psychic,,600,370,230,50,95,90,95,90,180,3,True
387,Turtwig,Grass,,318,144,174,55,68,64,45,55,31,4,False
388,Grotle,Grass,,405,180,225,75,89,85,55,65,36,4,False
389,Torterra,Grass,Ground,525,240,285,95,109,105,75,85,56,4,False
390,Chimchar,Fire,,309,177,132,44,58,44,58,44,61,4,False
391,Monferno,Fire,Fighting,405,237,168,64,78,52,78,52,81,4,False
392,Infernape,Fire,Fighting,534,316,218,76,104,71,104,71,108,4,False
393,Piplup,Water,,314,152,162,53,51,53,61,56,40,4,False
394,Prinplup,Water,,405,197,208,64,66,68,81,76,50,4,False
395,Empoleon,Water,Steel,530,257,273,84,86,88,111,101,60,4,False
396,Starly,Normal,Flying,245,145,100,40,55,30,30,30,60,4,False
397,Staravia,Normal,Flying,340,195,145,55,75,50,40,40,80,4,False
398,Staraptor,Normal,Flying,485,270,215,85,120,70,50,60,100,4,False
399,Bidoof,Normal,,250,111,139,59,45,40,35,40,31,4,False
400,Bibarel,Normal,Water,410,211,199,79,85,60,55,60,71,4,False
401,Kricketot,Bug,,194,75,119,37,25,41,25,41,25,4,False
402,Kricketune,Bug,,384,205,179,77,85,51,55,51,65,4,False
403,Shinx,Electric,,263,150,113,45,65,34,40,34,45,4,False
404,Luxio,Electric,,363,205,158,60,85,49,60,49,60,4,False
405,Luxray,Electric,,523,285,238,80,120,79,95,79,70,4,False
406,Budew,Grass,Poison,280,135,145,40,30,35,50,70,55,4,False
407,Roserade,Grass,Poison,515,285,230,60,70,65,125,105,90,4,False
408,Cranidos,Rock,,350,213,137,67,125,40,30,30,58,4,False
409,Rampardos,Rock,,495,288,207,97,165,60,65,50,58,4,False
410,Shieldon,Rock,Steel,350,114,236,30,42,118,42,88,30,4,False
411,Bastiodon,Rock,Steel,495,129,366,60,52,168,47,138,30,4,False
412,Burmy,Bug,,224,94,130,40,29,45,29,45,36,4,False
413,WormadamPlant Cloak,Bug,Grass,424,174,250,60,59,85,79,105,36,4,False
413,WormadamSandy Cloak,Bug,Ground,424,174,250,60,79,105,59,85,36,4,False
413,WormadamTrash Cloak,Bug,Steel,424,174,250,60,69,95,69,95,36,4,False
414,Mothim,Bug,Flying,424,254,170,70,94,50,94,50,66,4,False
415,Combee,Bug,Flying,244,130,114,30,30,42,30,42,70,4,False
416,Vespiquen,Bug,Flying,474,200,274,70,80,102,80,102,40,4,False
417,Pachirisu,Electric,,405,185,220,60,45,70,45,90,95,4,False
418,Buizel,Water,,330,210,120,55,65,35,60,30,85,4,False
419,Floatzel,Water,,495,305,190,85,105,55,85,50,115,4,False
420,Cherubi,Grass,,275,132,143,45,35,45,62,53,35,4,False
421,Cherrim,Grass,,450,232,218,70,60,70,87,78,85,4,False
422,Shellos,Water,,325,139,186,76,48,48,57,62,34,4,False
423,Gastrodon,Water,Ground,475,214,261,111,83,68,92,82,39,4,False
424,Ambipom,Normal,,482,275,207,75,100,66,60,66,115,4,False
425,Drifloon,Ghost,Flying,348,180,168,90,50,34,60,44,70,4,False
426,Drifblim,Ghost,Flying,498,250,248,150,80,44,90,54,80,4,False
427,Buneary,Normal,,350,195,155,55,66,44,44,56,85,4,False
428,Lopunny,Normal,,480,235,245,65,76,84,54,96,105,4,False
428,LopunnyMega Lopunny,Normal,Fighting,580,325,255,65,136,94,54,96,135,4,False
429,Mismagius,Ghost,,495,270,225,60,60,60,105,105,105,4,False
430,Honchkrow,Dark,Flying,505,301,204,100,125,52,105,52,71,4,False
431,Glameow,Normal,,310,182,128,49,55,42,42,37,85,4,False
432,Purugly,Normal,,452,258,194,71,82,64,64,59,112,4,False
433,Chingling,Psychic,,285,140,145,45,30,50,65,50,45,4,False
434,Stunky,Poison,Dark,329,178,151,63,63,47,41,41,74,4,False
435,Skuntank,Poison,Dark,479,248,231,103,93,67,71,61,84,4,False
436,Bronzor,Steel,Psychic,300,71,229,57,24,86,24,86,23,4,False
437,Bronzong,Steel,Psychic,500,201,299,67,89,116,79,116,33,4,False
438,Bonsly,Rock,,290,100,190,50,80,95,10,45,10,4,False
439,Mime Jr.,Psychic,Fairy,310,155,155,20,25,45,70,90,60,4,False
440,Happiny,Normal,,220,50,170,100,5,5,15,65,30,4,False
441,Chatot,Normal,Flying,411,248,163,76,65,45,92,42,91,4,False
442,Spiritomb,Ghost,Dark,485,219,266,50,92,108,92,108,35,4,False
443,Gible,Dragon,Ground,300,152,148,58,70,45,40,45,42,4,False
444,Gabite,Dragon,Ground,410,222,188,68,90,65,50,55,82,4,False
445,Garchomp,Dragon,Ground,600,312,288,108,130,95,80,85,102,4,False
445,GarchompMega Garchomp,Dragon,Ground,700,382,318,108,170,115,120,95,92,4,False
446,Munchlax,Normal,,390,130,260,135,85,40,40,85,5,4,False
447,Riolu,Fighting,,285,165,120,40,70,40,35,40,60,4,False
448,Lucario,Fighting,Steel,525,315,210,70,110,70,115,70,90,4,False
448,LucarioMega Lucario,Fighting,Steel,625,397,228,70,145,88,140,70,112,4,False
449,Hippopotas,Ground,,330,142,188,68,72,78,38,42,32,4,False
450,Hippowdon,Ground,,525,227,298,108,112,118,68,72,47,4,False
451,Skorupi,Poison,Bug,330,145,185,40,50,90,30,55,65,4,False
452,Drapion,Poison,Dark,500,245,255,70,90,110,60,75,95,4,False
453,Croagunk,Poison,Fighting,300,172,128,48,61,40,61,40,50,4,False
454,Toxicroak,Poison,Fighting,490,277,213,83,106,65,86,65,85,4,False
455,Carnivine,Grass,,454,236,218,74,100,72,90,72,46,4,False
456,Finneon,Water,,330,164,166,49,49,56,49,61,66,4,False
457,Lumineon,Water,,460,229,231,69,69,76,69,86,91,4,False
458,Mantyke,Water,Flying,345,130,215,45,20,50,60,120,50,4,False
459,Snover,Grass,Ice,334,164,170,60,62,50,62,60,40,4,False
460,Abomasnow,Grass,Ice,494,244,250,90,92,75,92,85,60,4,False
460,AbomasnowMega Abomasnow,Grass,Ice,594,294,300,90,132,105,132,105,30,4,False
461,Weavile,Dark,Ice,510,290,220,70,120,65,45,85,125,4,False
462,Magnezone,Electric,Steel,535,260,275,70,70,115,130,90,60,4,False
463,Lickilicky,Normal,,515,215,300,110,85,95,80,95,50,4,False
464,Rhyperior,Ground,Rock,535,235,300,115,140,130,55,55,40,4,False
465,Tangrowth,Grass,,535,260,275,100,100,125,110,50,50,4,False
466,Electivire,Electric,,540,313,227,75,123,67,95,85,95,4,False
467,Magmortar,Fire,,540,303,237,75,95,67,125,95,83,4,False
468,Togekiss,Fairy,Flying,545,250,295,85,50,95,120,115,80,4,False
469,Yanmega,Bug,Flying,515,287,228,86,76,86,116,56,95,4,False
470,Leafeon,Grass,,525,265,260,65,110,130,60,65,95,4,False
471,Glaceon,Ice,,525,255,270,65,60,110,130,95,65,4,False
472,Gliscor,Ground,Flying,510,235,275,75,95,125,45,75,95,4,False
473,Mamoswine,Ice,Ground,530,280,250,110,130,80,70,60,80,4,False
474,Porygon-Z,Normal,,535,305,230,85,80,70,135,75,90,4,False
475,Gallade,Psychic,Fighting,518,270,248,68,125,65,65,115,80,4,False
475,GalladeMega Gallade,Psychic,Fighting,618,340,278,68,165,95,65,115,110,4,False
476,Probopass,Rock,Steel,525,170,355,60,55,145,75,150,40,4,False
477,Dusknoir,Ghost,,525,210,315,45,100,135,65,135,45,4,False
478,Froslass,Ice,Ghost,480,270,210,70,80,70,80,70,110,4,False
479,Rotom,Electric,Ghost,440,236,204,50,50,77,95,77,91,4,False
479,RotomHeat Rotom,Electric,Fire,520,256,264,50,65,107,105,107,86,4,False
479,RotomWash Rotom,Electric,Water,520,256,264,50,65,107,105,107,86,4,False
479,RotomFrost Rotom,Electric,Ice,520,256,264,50,65,107,105,107,86,4,False
479,RotomFan Rotom,Electric,Flying,520,256,264,50,65,107,105,107,86,4,False
479,RotomMow Rotom,Electric,Grass,520,256,264,50,65,107,105,107,86,4,False
480,Uxie,Psychic,,580,245,335,75,75,130,75,130,95,4,True
481,Mesprit,Psychic,,580,290,290,80,105,105,105,105,80,4,True
482,Azelf,Psychic,,580,365,215,75,125,70,125,70,115,4,True
483,Dialga,Steel,Dragon,680,360,320,100,120,120,150,100,90,4,True
484,Palkia,Water,Dragon,680,370,310,90,120,100,150,120,100,4,True
485,Heatran,Fire,Steel,600,297,303,91,90,106,130,106,77,4,True
486,Regigigas,Normal,,670,340,330,110,160,110,80,110,100,4,True
487,GiratinaAltered Forme,Ghost,Dragon,680,290,390,150,100,120,100,120,90,4,True
487,GiratinaOrigin Forme,Ghost,Dragon,680,330,350,150,120,100,120,100,90,4,True
488,Cresselia,Psychic,,600,230,370,120,70,120,75,130,85,4,False
489,Phione,Water,,480,240,240,80,80,80,80,80,80,4,False
490,Manaphy,Water,,600,300,300,100,100,100,100,100,100,4,False
491,Darkrai,Dark,,600,350,250,70,90,90,135,90,125,4,True
492,ShayminLand Forme,Grass,,600,300,300,100,100,100,100,100,100,4,True
492,ShayminSky Forme,Grass,Flying,600,350,250,100,103,75,120,75,127,4,True
493,Arceus,Normal,,720,360,360,120,120,120,120,120,120,4,True
494,Victini,Psychic,Fire,600,300,300,100,100,100,100,100,100,5,True
495,Snivy,Grass,,308,153,155,45,45,55,45,55,63,5,False
496,Servine,Grass,,413,203,210,60,60,75,60,75,83,5,False
497,Serperior,Grass,,528,263,265,75,75,95,75,95,113,5,False
498,Tepig,Fire,,308,153,155,65,63,45,45,45,45,5,False
499,Pignite,Fire,Fighting,418,218,200,90,93,55,70,55,55,5,False
500,Emboar,Fire,Fighting,528,288,240,110,123,65,100,65,65,5,False
501,Oshawott,Water,,308,163,145,55,55,45,63,45,45,5,False
502,Dewott,Water,,413,218,195,75,75,60,83,60,60,5,False
503,Samurott,Water,,528,278,250,95,100,85,108,70,70,5,False
504,Patrat,Normal,,255,132,123,45,55,39,35,39,42,5,False
505,Watchog,Normal,,420,222,198,60,85,69,60,69,77,5,False
506,Lillipup,Normal,,275,140,135,45,60,45,25,45,55,5,False
507,Herdier,Normal,,370,175,195,65,80,65,35,65,60,5,False
508,Stoutland,Normal,,500,235,265,85,110,90,45,90,80,5,False
509,Purrloin,Dark,,281,166,115,41,50,37,50,37,66,5,False
510,Liepard,Dark,,446,282,164,64,88,50,88,50,106,5,False
511,Pansage,Grass,,316,170,146,50,53,48,53,48,64,5,False
512,Simisage,Grass,,498,297,201,75,98,63,98,63,101,5,False
513,Pansear,Fire,,316,170,146,50,53,48,53,48,64,5,False
514,Simisear,Fire,,498,297,201,75,98,63,98,63,101,5,False
515,Panpour,Water,,316,170,146,50,53,48,53,48,64,5,False
516,Simipour,Water,,498,297,201,75,98,63,98,63,101,5,False
517,Munna,Psychic,,292,116,176,76,25,45,67,55,24,5,False
518,Musharna,Psychic,,487,191,296,116,55,85,107,95,29,5,False
519,Pidove,Normal,Flying,264,134,130,50,55,50,36,30,43,5,False
520,Tranquill,Normal,Flying,358,192,166,62,77,62,50,42,65,5,False
521,Unfezant,Normal,Flying,488,273,215,80,115,80,65,55,93,5,False
522,Blitzle,Electric,,295,186,109,45,60,32,50,32,76,5,False
523,Zebstrika,Electric,,497,296,201,75,100,63,80,63,116,5,False
524,Roggenrola,Rock,,280,115,165,55,75,85,25,25,15,5,False
525,Boldore,Rock,,390,175,215,70,105,105,50,40,20,5,False
526,Gigalith,Rock,,515,220,295,85,135,130,60,80,25,5,False
527,Woobat,Psychic,Flying,313,172,141,55,45,43,55,43,72,5,False
528,Swoobat,Psychic,Flying,425,248,177,67,57,55,77,55,114,5,False
529,Drilbur,Ground,,328,183,145,60,85,40,30,45,68,5,False
530,Excadrill,Ground,Steel,508,273,235,110,135,60,50,65,88,5,False
531,Audino,Normal,,445,170,275,103,60,86,60,86,50,5,False
531,AudinoMega Audino,Normal,Fairy,545,190,355,103,60,126,80,126,50,5,False
532,Timburr,Fighting,,305,140,165,75,80,55,25,35,35,5,False
533,Gurdurr,Fighting,,405,185,220,85,105,85,40,50,40,5,False
534,Conkeldurr,Fighting,,505,240,265,105,140,95,55,65,45,5,False
535,Tympole,Water,,294,164,130,50,50,40,50,40,64,5,False
536,Palpitoad,Water,Ground,384,199,185,75,65,55,65,55,69,5,False
537,Seismitoad,Water,Ground,509,254,255,105,95,75,85,75,74,5,False
538,Throh,Fighting,,465,175,290,120,100,85,30,85,45,5,False
539,Sawk,Fighting,,465,240,225,75,125,75,30,75,85,5,False
540,Sewaddle,Bug,Grass,310,135,175,45,53,70,40,60,42,5,False
541,Swadloon,Bug,Grass,380,155,225,55,63,90,50,80,42,5,False
542,Leavanny,Bug,Grass,500,265,235,75,103,80,70,80,92,5,False
543,Venipede,Bug,Poison,260,132,128,30,45,59,30,39,57,5,False
544,Whirlipede,Bug,Poison,360,142,218,40,55,99,40,79,47,5,False
545,Scolipede,Bug,Poison,485,267,218,60,100,89,55,69,112,5,False
546,Cottonee,Grass,Fairy,280,130,150,40,27,60,37,50,66,5,False
547,Whimsicott,Grass,Fairy,480,260,220,60,67,85,77,75,116,5,False
548,Petilil,Grass,,280,135,145,45,35,50,70,50,30,5,False
549,Lilligant,Grass,,480,260,220,70,60,75,110,75,90,5,False
550,Basculin,Water,,460,270,190,70,92,65,80,55,98,5,False
551,Sandile,Ground,Dark,292,172,120,50,72,35,35,35,65,5,False
552,Krokorok,Ground,Dark,351,201,150,60,82,45,45,45,74,5,False
553,Krookodile,Ground,Dark,519,274,245,95,117,80,65,70,92,5,False
554,Darumaka,Fire,,315,155,160,70,90,45,15,45,50,5,False
555,DarmanitanStandard Mode,Fire,,480,265,215,105,140,55,30,55,95,5,False
555,DarmanitanZen Mode,Fire,Psychic,540,225,315,105,30,105,140,105,55,5,False
556,Maractus,Grass,,461,252,209,75,86,67,106,67,60,5,False
557,Dwebble,Bug,Rock,325,155,170,50,65,85,35,35,55,5,False
558,Crustle,Bug,Rock,475,205,270,70,95,125,65,75,45,5,False
559,Scraggy,Dark,Fighting,348,158,190,50,75,70,35,70,48,5,False
560,Scrafty,Dark,Fighting,488,193,295,65,90,115,45,115,58,5,False
561,Sigilyph,Psychic,Flying,490,258,232,72,58,80,103,80,97,5,False
562,Yamask,Ghost,,303,115,188,38,30,85,55,65,30,5,False
563,Cofagrigus,Ghost,,483,175,308,58,50,145,95,105,30,5,False
564,Tirtouga,Water,Rock,355,153,202,54,78,103,53,45,22,5,False
565,Carracosta,Water,Rock,495,223,272,74,108,133,83,65,32,5,False
566,Archen,Rock,Flying,401,256,145,55,112,45,74,45,70,5,False
567,Archeops,Rock,Flying,567,362,205,75,140,65,112,65,110,5,False
568,Trubbish,Poison,,329,155,174,50,50,62,40,62,65,5,False
569,Garbodor,Poison,,474,230,244,80,95,82,60,82,75,5,False
570,Zorua,Dark,,330,210,120,40,65,40,80,40,65,5,False
571,Zoroark,Dark,,510,330,180,60,105,60,120,60,105,5,False
572,Minccino,Normal,,300,165,135,55,50,40,40,40,75,5,False
573,Cinccino,Normal,,470,275,195,75,95,60,65,60,115,5,False
574,Gothita,Psychic,,290,130,160,45,30,50,55,65,45,5,False
575,Gothorita,Psychic,,390,175,215,60,45,70,75,85,55,5,False
576,Gothitelle,Psychic,,490,215,275,70,55,95,95,110,65,5,False
577,Solosis,Psychic,,290,155,135,45,30,40,105,50,20,5,False
578,Duosion,Psychic,,370,195,175,65,40,50,125,60,30,5,False
579,Reuniclus,Psychic,,490,220,270,110,65,75,125,85,30,5,False
580,Ducklett,Water,Flying,305,143,162,62,44,50,44,50,55,5,False
581,Swanna,Water,Flying,473,272,201,75,87,63,87,63,98,5,False
582,Vanillite,Ice,,305,159,146,36,50,50,65,60,44,5,False
583,Vanillish,Ice,,395,204,191,51,65,65,80,75,59,5,False
584,Vanilluxe,Ice,,535,284,251,71,95,85,110,95,79,5,False
585,Deerling,Normal,Grass,335,175,160,60,60,50,40,50,75,5,False
586,Sawsbuck,Normal,Grass,475,255,220,80,100,70,60,70,95,5,False
587,Emolga,Electric,Flying,428,253,175,55,75,60,75,60,103,5,False
588,Karrablast,Bug,,315,175,140,50,75,45,40,45,60,5,False
589,Escavalier,Bug,Steel,495,215,280,70,135,105,60,105,20,5,False
590,Foongus,Grass,Poison,294,125,169,69,55,45,55,55,15,5,False
591,Amoonguss,Grass,Poison,464,200,264,114,85,70,85,80,30,5,False
592,Frillish,Water,Ghost,335,145,190,55,40,50,65,85,40,5,False
593,Jellicent,Water,Ghost,480,205,275,100,60,70,85,105,60,5,False
594,Alomomola,Water,,470,180,290,165,75,80,40,45,65,5,False
595,Joltik,Bug,Electric,319,169,150,50,47,50,57,50,65,5,False
596,Galvantula,Bug,Electric,472,282,190,70,77,60,97,60,108,5,False
597,Ferroseed,Grass,Steel,305,84,221,44,50,91,24,86,10,5,False
598,Ferrothorn,Grass,Steel,489,168,321,74,94,131,54,116,20,5,False
599,Klink,Steel,,300,130,170,40,55,70,45,60,30,5,False
600,Klang,Steel,,440,200,240,60,80,95,70,85,50,5,False
601,Klinklang,Steel,,520,260,260,60,100,115,70,85,90,5,False
602,Tynamo,Electric,,275,160,115,35,55,40,45,40,60,5,False
603,Eelektrik,Electric,,405,200,205,65,85,70,75,70,40,5,False
604,Eelektross,Electric,,515,270,245,85,115,80,105,80,50,5,False
605,Elgyem,Psychic,,335,170,165,55,55,55,85,55,30,5,False
606,Beheeyem,Psychic,,485,240,245,75,75,75,125,95,40,5,False
607,Litwick,Ghost,Fire,275,115,160,50,30,55,65,55,20,5,False
608,Lampent,Ghost,Fire,370,190,180,60,40,60,95,60,55,5,False
609,Chandelure,Ghost,Fire,520,280,240,60,55,90,145,90,80,5,False
610,Axew,Dragon,,320,174,146,46,87,60,30,40,57,5,False
611,Fraxure,Dragon,,410,224,186,66,117,70,40,50,67,5,False
612,Haxorus,Dragon,,540,304,236,76,147,90,60,70,97,5,False
613,Cubchoo,Ice,,305,170,135,55,70,40,60,40,40,5,False
614,Beartic,Ice,,485,230,255,95,110,80,70,80,50,5,False
615,Cryogonal,Ice,,485,250,235,70,50,30,95,135,105,5,False
616,Shelmet,Bug,,305,105,200,50,40,85,40,65,25,5,False
617,Accelgor,Bug,,495,315,180,80,70,40,100,60,145,5,False
618,Stunfisk,Ground,Electric,471,179,292,109,66,84,81,99,32,5,False
619,Mienfoo,Fighting,,350,205,145,45,85,50,55,50,65,5,False
620,Mienshao,Fighting,,510,325,185,65,125,60,95,60,105,5,False
621,Druddigon,Dragon,,485,228,257,77,120,90,60,90,48,5,False
622,Golett,Ground,Ghost,303,144,159,59,74,50,35,50,35,5,False
623,Golurk,Ground,Ghost,483,234,249,89,124,80,55,80,55,5,False
624,Pawniard,Dark,Steel,340,185,155,45,85,70,40,40,60,5,False
625,Bisharp,Dark,Steel,490,255,235,65,125,100,60,70,70,5,False
626,Bouffalant,Normal,,490,205,285,95,110,95,40,95,55,5,False
627,Rufflet,Normal,Flying,350,180,170,70,83,50,37,50,60,5,False
628,Braviary,Normal,Flying,510,260,250,100,123,75,57,75,80,5,False
629,Vullaby,Dark,Flying,370,160,210,70,55,75,45,65,60,5,False
630,Mandibuzz,Dark,Flying,510,200,310,110,65,105,55,95,80,5,False
631,Heatmor,Fire,,484,267,217,85,97,66,105,66,65,5,False
632,Durant,Bug,Steel,484,266,218,58,109,112,48,48,109,5,False
633,Deino,Dark,Dragon,300,148,152,52,65,50,45,50,38,5,False
634,Zweilous,Dark,Dragon,420,208,212,72,85,70,65,70,58,5,False
635,Hydreigon,Dark,Dragon,600,328,272,92,105,90,125,90,98,5,False
636,Larvesta,Bug,Fire,360,195,165,55,85,55,50,55,60,5,False
637,Volcarona,Bug,Fire,550,295,255,85,60,65,135,105,100,5,False
638,Cobalion,Steel,Fighting,580,288,292,91,90,129,90,72,108,5,True
639,Terrakion,Rock,Fighting,580,309,271,91,129,90,72,90,108,5,True
640,Virizion,Grass,Fighting,580,288,292,91,90,72,90,129,108,5,True
641,TornadusIncarnate Forme,Flying,,580,351,229,79,115,70,125,80,111,5,True
641,TornadusTherian Forme,Flying,,580,331,249,79,100,80,110,90,121,5,True
642,ThundurusIncarnate Forme,Electric,Flying,580,351,229,79,115,70,125,80,111,5,True
642,ThundurusTherian Forme,Electric,Flying,580,351,229,79,105,70,145,80,101,5,True
643,Reshiram,Dragon,Fire,680,360,320,100,120,100,150,120,90,5,True
644,Zekrom,Dragon,Electric,680,360,320,100,150,120,120,100,90,5,True
645,LandorusIncarnate Forme,Ground,Flying,600,341,259,89,125,90,115,80,101,5,True
645,LandorusTherian Forme,Ground,Flying,600,341,259,89,145,90,105,80,91,5,True
646,Kyurem,Dragon,Ice,660,355,305,125,130,90,130,90,95,5,True
646,KyuremBlack Kyurem,Dragon,Ice,700,385,315,125,170,100,120,90,95,5,True
646,KyuremWhite Kyurem,Dragon,Ice,700,385,315,125,120,90,170,100,95,5,True
647,KeldeoOrdinary Forme,Water,Fighting,580,309,271,91,72,90,129,90,108,5,False
647,KeldeoResolute Forme,Water,Fighting,580,309,271,91,72,90,129,90,108,5,False
648,MeloettaAria Forme,Normal,Psychic,600,295,305,100,77,77,128,128,90,5,False
648,MeloettaPirouette Forme,Normal,Fighting,600,333,267,100,128,90,77,77,128,5,False
649,Genesect,Bug,Steel,600,339,261,71,120,95,120,95,99,5,False
650,Chespin,Grass,,313,147,166,56,61,65,48,45,38,6,False
651,Quilladin,Grass,,405,191,214,61,78,95,56,58,57,6,False
652,Chesnaught,Grass,Fighting,530,245,285,88,107,122,74,75,64,6,False
653,Fennekin,Fire,,307,167,140,40,45,40,62,60,60,6,False
654,Braixen,Fire,,409,222,187,59,59,58,90,70,73,6,False
655,Delphox,Fire,Psychic,534,287,247,75,69,72,114,100,104,6,False
656,Froakie,Water,,314,189,125,41,56,40,62,44,71,6,False
657,Frogadier,Water,,405,243,162,54,63,52,83,56,97,6,False
658,Greninja,Water,Dark,530,320,210,72,95,67,103,71,122,6,False
659,Bunnelby,Normal,,237,125,112,38,36,38,32,36,57,6,False
660,Diggersby,Normal,Ground,423,184,239,85,56,77,50,77,78,6,False
661,Fletchling,Normal,Flying,278,152,126,45,50,43,40,38,62,6,False
662,Fletchinder,Fire,Flying,382,213,169,62,73,55,56,52,84,6,False
663,Talonflame,Fire,Flying,499,281,218,78,81,71,74,69,126,6,False
664,Scatterbug,Bug,,200,97,103,38,35,40,27,25,35,6,False
665,Spewpa,Bug,,213,78,135,45,22,60,27,30,29,6,False
666,Vivillon,Bug,Flying,411,231,180,80,52,50,90,50,89,6,False
667,Litleo,Fire,Normal,369,195,174,62,50,58,73,54,72,6,False
668,Pyroar,Fire,Normal,507,283,224,86,68,72,109,66,106,6,False
669,Flabébé,Fairy,,303,141,162,44,38,39,61,79,42,6,False
670,Floette,Fairy,,371,172,199,54,45,47,75,98,52,6,False
671,Florges,Fairy,,552,252,300,78,65,68,112,154,75,6,False
672,Skiddo,Grass,,350,179,171,66,65,48,62,57,52,6,False
673,Gogoat,Grass,,531,265,266,123,100,62,97,81,68,6,False
674,Pancham,Fighting,,348,171,177,67,82,62,46,48,43,6,False
675,Pangoro,Fighting,Dark,495,251,244,95,124,78,69,71,58,6,False
676,Furfrou,Normal,,472,247,225,75,80,60,65,90,102,6,False
677,Espurr,Psychic,,355,179,176,62,48,54,63,60,68,6,False
678,MeowsticMale,Psychic,,466,235,231,74,48,76,83,81,104,6,False
678,MeowsticFemale,Psychic,,466,235,231,74,48,76,83,81,104,6,False
679,Honedge,Steel,Ghost,325,143,182,45,80,100,35,37,28,6,False
